,feature,icc_value,c_down,c_up,sequence
3945,wavelet-LHH_gldm_SmallDependenceEmphasis,0.96,0.93,0.98,t2w
3946,wavelet-LHH_gldm_SmallDependenceHighGrayLevelEmphasis,0.61,0.44,0.8,t2w
3947,wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,0.65,0.49,0.83,t2w
3948,wavelet-HLL_firstorder_10Percentile,1.0,0.99,1.0,t2w
3949,wavelet-HLL_firstorder_90Percentile,0.99,0.99,1.0,t2w
3950,wavelet-HLL_firstorder_Energy,0.98,0.97,0.99,t2w
3951,wavelet-HLL_firstorder_Entropy,0.96,0.93,0.99,t2w
3952,wavelet-HLL_firstorder_InterquartileRange,1.0,0.99,1.0,t2w
3953,wavelet-HLL_firstorder_Kurtosis,0.65,0.48,0.83,t2w
3954,wavelet-HLL_firstorder_Maximum,0.78,0.64,0.9,t2w
3955,wavelet-HLL_firstorder_MeanAbsoluteDeviation,0.99,0.98,1.0,t2w
3956,wavelet-HLL_firstorder_Mean,0.83,0.72,0.93,t2w
3957,wavelet-HLL_firstorder_Median,0.88,0.8,0.95,t2w
3958,wavelet-HLL_firstorder_Minimum,0.8,0.67,0.91,t2w
3959,wavelet-HLL_firstorder_Range,0.81,0.69,0.92,t2w
3960,wavelet-HLL_firstorder_RobustMeanAbsoluteDeviation,1.0,0.99,1.0,t2w
3961,wavelet-HLL_firstorder_RootMeanSquared,0.72,0.57,0.87,t2w
3962,wavelet-HLL_firstorder_Skewness,0.53,0.36,0.75,t2w
3963,wavelet-HLL_firstorder_TotalEnergy,0.98,0.97,0.99,t2w
3964,wavelet-HLL_firstorder_Uniformity,0.97,0.95,0.99,t2w
3965,wavelet-HLL_firstorder_Variance,0.96,0.93,0.98,t2w
3966,wavelet-HLL_glcm_Autocorrelation,0.75,0.61,0.89,t2w
3967,wavelet-HLL_glcm_ClusterProminence,0.65,0.48,0.83,t2w
3968,wavelet-HLL_glcm_ClusterShade,0.61,0.44,0.8,t2w
3969,wavelet-HLL_glcm_ClusterTendency,0.96,0.92,0.98,t2w
3970,wavelet-HLL_glcm_Contrast,0.97,0.94,0.99,t2w
3971,wavelet-HLL_glcm_Correlation,0.96,0.93,0.98,t2w
3972,wavelet-HLL_glcm_DifferenceAverage,0.98,0.97,0.99,t2w
3973,wavelet-HLL_glcm_DifferenceEntropy,0.97,0.95,0.99,t2w
3974,wavelet-HLL_glcm_DifferenceVariance,0.94,0.9,0.98,t2w
3975,wavelet-HLL_glcm_Id,0.99,0.98,0.99,t2w
3976,wavelet-HLL_glcm_Idm,0.99,0.97,0.99,t2w
3977,wavelet-HLL_glcm_Idmn,0.88,0.79,0.95,t2w
3978,wavelet-HLL_glcm_Idn,0.86,0.76,0.94,t2w
3979,wavelet-HLL_glcm_Imc1,0.96,0.92,0.98,t2w
3980,wavelet-HLL_glcm_Imc2,0.95,0.9,0.98,t2w
3981,wavelet-HLL_glcm_InverseVariance,0.99,0.98,1.0,t2w
3982,wavelet-HLL_glcm_JointAverage,0.82,0.69,0.92,t2w
3983,wavelet-HLL_glcm_JointEnergy,0.98,0.97,0.99,t2w
3984,wavelet-HLL_glcm_JointEntropy,0.98,0.96,0.99,t2w
3985,wavelet-HLL_glcm_MCC,0.77,0.63,0.89,t2w
3986,wavelet-HLL_glcm_MaximumProbability,0.97,0.95,0.99,t2w
3987,wavelet-HLL_glcm_SumAverage,0.82,0.69,0.92,t2w
3988,wavelet-HLL_glcm_SumEntropy,0.98,0.96,0.99,t2w
3989,wavelet-HLL_glcm_SumSquares,0.96,0.92,0.98,t2w
3990,wavelet-HLL_glrlm_GrayLevelNonUniformity,0.99,0.97,0.99,t2w
3991,wavelet-HLL_glrlm_GrayLevelNonUniformityNormalized,0.97,0.94,0.99,t2w
3992,wavelet-HLL_glrlm_GrayLevelVariance,0.91,0.84,0.96,t2w
3993,wavelet-HLL_glrlm_HighGrayLevelRunEmphasis,0.75,0.61,0.89,t2w
3994,wavelet-HLL_glrlm_LongRunEmphasis,1.0,0.99,1.0,t2w
3995,wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,0.75,0.61,0.89,t2w
3996,wavelet-HLL_glrlm_LongRunLowGrayLevelEmphasis,0.87,0.77,0.94,t2w
3997,wavelet-HLL_glrlm_LowGrayLevelRunEmphasis,0.87,0.78,0.94,t2w
3998,wavelet-HLL_glrlm_RunEntropy,0.96,0.93,0.98,t2w
3999,wavelet-HLL_glrlm_RunLengthNonUniformity,0.98,0.96,0.99,t2w
4000,wavelet-HLL_glrlm_RunLengthNonUniformityNormalized,0.99,0.98,1.0,t2w
4001,wavelet-HLL_glrlm_RunPercentage,0.99,0.98,1.0,t2w
4002,wavelet-HLL_glrlm_RunVariance,1.0,1.0,1.0,t2w
4003,wavelet-HLL_glrlm_ShortRunEmphasis,0.98,0.97,0.99,t2w
4004,wavelet-HLL_glrlm_ShortRunHighGrayLevelEmphasis,0.76,0.61,0.89,t2w
4005,wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,0.86,0.77,0.94,t2w
4006,wavelet-HLL_glszm_GrayLevelNonUniformity,0.93,0.88,0.97,t2w
4007,wavelet-HLL_glszm_GrayLevelNonUniformityNormalized,0.87,0.78,0.95,t2w
4008,wavelet-HLL_glszm_GrayLevelVariance,0.71,0.56,0.86,t2w
4009,wavelet-HLL_glszm_HighGrayLevelZoneEmphasis,0.76,0.61,0.89,t2w
4010,wavelet-HLL_glszm_LargeAreaEmphasis,0.99,0.97,0.99,t2w
4011,wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,0.86,0.76,0.94,t2w
4012,wavelet-HLL_glszm_LargeAreaLowGrayLevelEmphasis,0.95,0.9,0.98,t2w
4013,wavelet-HLL_glszm_LowGrayLevelZoneEmphasis,0.83,0.72,0.93,t2w
4014,wavelet-HLL_glszm_SizeZoneNonUniformity,0.71,0.56,0.86,t2w
4015,wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,0.83,0.71,0.92,t2w
4016,wavelet-HLL_glszm_SmallAreaEmphasis,0.8,0.67,0.91,t2w
4017,wavelet-HLL_glszm_SmallAreaHighGrayLevelEmphasis,0.72,0.57,0.87,t2w
4018,wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,0.84,0.73,0.93,t2w
4019,wavelet-HLL_glszm_ZoneEntropy,0.9,0.83,0.96,t2w
4020,wavelet-HLL_glszm_ZonePercentage,0.95,0.92,0.98,t2w
4021,wavelet-HLL_glszm_ZoneVariance,0.99,0.97,0.99,t2w
4022,wavelet-HLL_ngtdm_Busyness,0.94,0.9,0.98,t2w
4023,wavelet-HLL_ngtdm_Coarseness,0.97,0.95,0.99,t2w
4024,wavelet-HLL_ngtdm_Complexity,0.75,0.61,0.89,t2w
4025,wavelet-HLL_ngtdm_Contrast,0.88,0.79,0.95,t2w
4026,wavelet-HLL_ngtdm_Strength,0.73,0.58,0.87,t2w
4027,wavelet-HLL_gldm_DependenceEntropy,0.96,0.92,0.98,t2w
4028,wavelet-HLL_gldm_DependenceNonUniformity,0.99,0.97,0.99,t2w
4029,wavelet-HLL_gldm_DependenceNonUniformityNormalized,0.96,0.93,0.99,t2w
4030,wavelet-HLL_gldm_DependenceVariance,0.95,0.91,0.98,t2w
4031,wavelet-HLL_gldm_GrayLevelNonUniformity,0.99,0.97,0.99,t2w
4032,wavelet-HLL_gldm_GrayLevelVariance,0.93,0.87,0.97,t2w
