,feature,icc_value,c_down,c_up,sequence
137,original_glrlm_RunLengthNonUniformityNormalized,1.0,1.0,1.0,dce
138,original_glrlm_ShortRunLowGrayLevelEmphasis,1.0,0.99,1.0,adc
139,original_glszm_GrayLevelNonUniformity,1.0,0.99,1.0,adc
140,original_glrlm_RunPercentage,1.0,1.0,1.0,dce
141,original_glszm_GrayLevelNonUniformityNormalized,0.99,0.98,1.0,adc
142,original_glrlm_RunVariance,1.0,0.99,1.0,dce
143,original_glrlm_ShortRunEmphasis,1.0,1.0,1.0,dce
144,original_glszm_GrayLevelVariance,0.98,0.96,0.99,adc
145,original_glrlm_ShortRunHighGrayLevelEmphasis,1.0,1.0,1.0,dce
146,original_glszm_HighGrayLevelZoneEmphasis,0.91,0.84,0.96,adc
147,original_glszm_LargeAreaEmphasis,1.0,1.0,1.0,adc
148,original_glrlm_ShortRunLowGrayLevelEmphasis,1.0,1.0,1.0,dce
149,original_glszm_LargeAreaHighGrayLevelEmphasis,0.93,0.87,0.97,adc
150,original_glszm_GrayLevelNonUniformity,1.0,0.99,1.0,dce
151,original_glszm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,dce
152,original_glszm_LargeAreaLowGrayLevelEmphasis,1.0,1.0,1.0,adc
153,original_glszm_LowGrayLevelZoneEmphasis,1.0,0.99,1.0,adc
154,original_glszm_GrayLevelVariance,1.0,1.0,1.0,dce
155,original_glszm_SizeZoneNonUniformity,0.99,0.99,1.0,adc
156,original_glszm_HighGrayLevelZoneEmphasis,1.0,1.0,1.0,dce
157,original_glszm_LargeAreaEmphasis,0.99,0.99,1.0,dce
158,original_glszm_SizeZoneNonUniformityNormalized,0.98,0.97,0.99,adc
159,original_glszm_LargeAreaHighGrayLevelEmphasis,0.99,0.99,1.0,dce
160,original_glszm_SmallAreaEmphasis,0.98,0.97,0.99,adc
161,original_glszm_SmallAreaHighGrayLevelEmphasis,0.9,0.83,0.96,adc
162,original_glszm_LargeAreaLowGrayLevelEmphasis,1.0,0.99,1.0,dce
163,original_glszm_SmallAreaLowGrayLevelEmphasis,1.0,0.99,1.0,adc
164,original_glszm_LowGrayLevelZoneEmphasis,1.0,1.0,1.0,dce
165,original_glszm_ZoneEntropy,0.99,0.99,1.0,adc
166,original_glszm_SizeZoneNonUniformity,1.0,0.99,1.0,dce
167,original_glszm_SizeZoneNonUniformityNormalized,1.0,1.0,1.0,dce
168,original_glszm_ZonePercentage,1.0,0.99,1.0,adc
