,feature,icc_value,c_down,c_up,sequence
192,original_gldm_DependenceNonUniformityNormalized,1.0,1.0,1.0,dce
193,original_gldm_GrayLevelNonUniformity,1.0,0.99,1.0,adc
194,original_gldm_DependenceVariance,1.0,1.0,1.0,dce
195,original_gldm_GrayLevelNonUniformity,1.0,0.99,1.0,dce
196,original_gldm_GrayLevelVariance,0.99,0.98,1.0,adc
197,original_gldm_GrayLevelVariance,1.0,0.99,1.0,dce
198,original_gldm_HighGrayLevelEmphasis,0.8,0.67,0.91,adc
199,original_gldm_HighGrayLevelEmphasis,0.99,0.99,1.0,dce
200,original_gldm_LargeDependenceEmphasis,0.99,0.99,1.0,adc
201,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.76,0.62,0.89,adc
202,original_gldm_LargeDependenceEmphasis,1.0,1.0,1.0,dce
203,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.91,0.84,0.96,adc
204,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.98,0.96,0.99,dce
205,original_gldm_LowGrayLevelEmphasis,0.9,0.83,0.96,adc
206,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.99,0.97,0.99,dce
207,original_gldm_SmallDependenceEmphasis,0.99,0.97,0.99,adc
208,original_gldm_LowGrayLevelEmphasis,0.96,0.92,0.98,dce
209,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.81,0.69,0.92,adc
210,original_gldm_SmallDependenceEmphasis,1.0,1.0,1.0,dce
211,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.89,0.81,0.95,adc
212,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.99,0.99,1.0,dce
213,log-sigma-2-0-mm-3D_firstorder_10Percentile,0.99,0.99,1.0,adc
214,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.8,0.67,0.91,dce
215,log-sigma-2-0-mm-3D_firstorder_90Percentile,0.99,0.98,1.0,adc
216,log-sigma-2-0-mm-3D_firstorder_10Percentile,1.0,1.0,1.0,dce
217,log-sigma-2-0-mm-3D_firstorder_Energy,0.99,0.98,1.0,adc
218,log-sigma-2-0-mm-3D_firstorder_90Percentile,0.99,0.99,1.0,dce
219,log-sigma-2-0-mm-3D_firstorder_Entropy,0.99,0.99,1.0,adc
220,log-sigma-2-0-mm-3D_firstorder_Energy,1.0,0.99,1.0,dce
221,log-sigma-2-0-mm-3D_firstorder_InterquartileRange,1.0,0.99,1.0,adc
222,log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.98,0.96,0.99,adc
223,log-sigma-2-0-mm-3D_firstorder_Entropy,1.0,1.0,1.0,dce
224,log-sigma-2-0-mm-3D_firstorder_InterquartileRange,1.0,0.99,1.0,dce
225,log-sigma-2-0-mm-3D_firstorder_Maximum,0.75,0.6,0.88,adc
226,log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.99,0.99,1.0,adc
227,log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.43,0.26,0.67,dce
228,log-sigma-2-0-mm-3D_firstorder_Maximum,0.96,0.93,0.98,dce
229,log-sigma-2-0-mm-3D_firstorder_Mean,0.99,0.98,1.0,adc
230,log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,1.0,1.0,1.0,dce
231,log-sigma-2-0-mm-3D_firstorder_Median,0.99,0.99,1.0,adc
232,log-sigma-2-0-mm-3D_firstorder_Mean,0.99,0.98,1.0,dce
233,log-sigma-2-0-mm-3D_firstorder_Minimum,0.9,0.82,0.96,adc
234,log-sigma-2-0-mm-3D_firstorder_Range,0.86,0.76,0.94,adc
235,log-sigma-2-0-mm-3D_firstorder_Median,0.98,0.96,0.99,dce
236,log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,1.0,0.99,1.0,adc
237,log-sigma-2-0-mm-3D_firstorder_Minimum,0.77,0.63,0.89,dce
238,log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.99,0.98,1.0,adc
239,log-sigma-2-0-mm-3D_firstorder_Range,0.84,0.73,0.93,dce
240,log-sigma-2-0-mm-3D_firstorder_Skewness,0.98,0.96,0.99,adc
241,log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,1.0,0.99,1.0,dce
242,log-sigma-2-0-mm-3D_firstorder_TotalEnergy,0.99,0.98,1.0,adc
243,log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.97,0.95,0.99,dce
244,log-sigma-2-0-mm-3D_firstorder_Uniformity,1.0,0.99,1.0,adc
245,log-sigma-2-0-mm-3D_firstorder_Skewness,0.31,0.17,0.55,dce
246,log-sigma-2-0-mm-3D_firstorder_Variance,0.99,0.98,0.99,adc
247,log-sigma-2-0-mm-3D_firstorder_TotalEnergy,1.0,0.99,1.0,dce
248,log-sigma-2-0-mm-3D_firstorder_Uniformity,1.0,1.0,1.0,dce
