,feature,icc_value,c_down,c_up,sequence
293,log-sigma-2-0-mm-3D_glcm_MaximumProbability,0.99,0.99,1.0,t2w
294,log-sigma-2-0-mm-3D_glcm_SumSquares,0.98,0.97,0.98,adc
295,log-sigma-2-0-mm-3D_glcm_SumAverage,0.92,0.9,0.94,t2w
296,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,0.99,0.99,1.0,adc
297,log-sigma-2-0-mm-3D_glcm_SumEntropy,0.99,0.99,0.99,t2w
298,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.97,0.96,0.98,adc
299,log-sigma-2-0-mm-3D_glcm_SumSquares,1.0,1.0,1.0,t2w
300,log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,0.97,0.96,0.98,adc
301,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,0.99,0.98,0.99,t2w
302,log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.91,0.88,0.93,adc
303,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.99,0.99,0.99,t2w
304,log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,0.99,0.99,0.99,adc
305,log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,0.99,0.99,0.99,t2w
306,log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.9,0.87,0.92,adc
307,log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.85,0.81,0.88,t2w
308,log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.85,0.81,0.89,adc
309,log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,0.99,0.99,0.99,t2w
310,log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.84,0.8,0.88,adc
311,log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.85,0.81,0.89,t2w
312,log-sigma-2-0-mm-3D_glrlm_RunEntropy,0.96,0.94,0.97,adc
313,log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.95,0.93,0.96,t2w
314,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,0.98,0.97,0.98,adc
315,log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.94,0.92,0.95,t2w
316,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.99,0.99,0.99,adc
317,log-sigma-2-0-mm-3D_glrlm_RunPercentage,0.99,0.99,0.99,adc
318,log-sigma-2-0-mm-3D_glrlm_RunEntropy,0.98,0.97,0.98,t2w
319,log-sigma-2-0-mm-3D_glrlm_RunVariance,0.99,0.99,1.0,adc
320,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,0.98,0.97,0.98,t2w
321,log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis,0.99,0.99,0.99,adc
322,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.99,0.99,0.99,t2w
323,log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.91,0.88,0.93,adc
324,log-sigma-2-0-mm-3D_glrlm_RunPercentage,0.99,0.99,0.99,t2w
325,log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.84,0.8,0.88,adc
326,log-sigma-2-0-mm-3D_glrlm_RunVariance,1.0,0.99,1.0,t2w
327,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.97,0.97,0.98,adc
328,log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis,0.99,0.98,0.99,t2w
329,log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.85,0.81,0.88,t2w
330,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.94,0.92,0.96,adc
331,log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.94,0.92,0.95,t2w
332,log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.95,0.94,0.96,adc
