,feature,icc_value,c_down,c_up,sequence
173,original_glszm_SmallAreaLowGrayLevelEmphasis,0.84,0.8,0.88,adc
174,original_ngtdm_Coarseness,1.0,1.0,1.0,t2w
175,original_glszm_ZoneEntropy,0.99,0.98,0.99,adc
176,original_ngtdm_Complexity,0.78,0.72,0.83,t2w
177,original_glszm_ZonePercentage,1.0,0.99,1.0,adc
178,original_glszm_ZoneVariance,1.0,1.0,1.0,adc
179,original_ngtdm_Contrast,0.98,0.97,0.99,t2w
180,original_ngtdm_Busyness,0.96,0.94,0.97,adc
181,original_ngtdm_Strength,0.52,0.44,0.59,t2w
182,original_ngtdm_Coarseness,1.0,1.0,1.0,adc
183,original_gldm_DependenceEntropy,1.0,1.0,1.0,t2w
184,original_ngtdm_Complexity,0.97,0.96,0.98,adc
185,original_gldm_DependenceNonUniformity,1.0,1.0,1.0,t2w
186,original_ngtdm_Contrast,0.98,0.98,0.99,adc
187,original_gldm_DependenceNonUniformityNormalized,1.0,1.0,1.0,t2w
188,original_ngtdm_Strength,0.98,0.98,0.99,adc
189,original_gldm_DependenceVariance,1.0,1.0,1.0,t2w
190,original_gldm_DependenceEntropy,0.99,0.99,0.99,adc
191,original_gldm_GrayLevelNonUniformity,1.0,1.0,1.0,t2w
192,original_gldm_DependenceNonUniformity,1.0,1.0,1.0,adc
193,original_gldm_GrayLevelVariance,1.0,1.0,1.0,t2w
194,original_gldm_DependenceNonUniformityNormalized,1.0,1.0,1.0,adc
195,original_gldm_HighGrayLevelEmphasis,0.98,0.97,0.98,t2w
196,original_gldm_DependenceVariance,1.0,1.0,1.0,adc
197,original_gldm_LargeDependenceEmphasis,1.0,1.0,1.0,t2w
198,original_gldm_GrayLevelNonUniformity,1.0,1.0,1.0,adc
199,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.96,0.95,0.97,t2w
200,original_gldm_GrayLevelVariance,0.99,0.99,0.99,adc
201,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.97,0.96,0.98,t2w
202,original_gldm_HighGrayLevelEmphasis,0.89,0.86,0.91,adc
203,original_gldm_LowGrayLevelEmphasis,0.94,0.92,0.95,t2w
204,original_gldm_LargeDependenceEmphasis,1.0,1.0,1.0,adc
205,original_gldm_SmallDependenceEmphasis,1.0,0.99,1.0,t2w
206,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.89,0.86,0.92,adc
207,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.99,0.98,0.99,t2w
208,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.74,0.68,0.79,adc
209,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.9,0.87,0.93,t2w
210,original_gldm_LowGrayLevelEmphasis,0.93,0.91,0.95,adc
211,log-sigma-2-0-mm-3D_firstorder_10Percentile,1.0,1.0,1.0,t2w
212,original_gldm_SmallDependenceEmphasis,0.99,0.99,1.0,adc
213,log-sigma-2-0-mm-3D_firstorder_90Percentile,0.99,0.98,0.99,t2w
214,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.93,0.91,0.95,adc
215,log-sigma-2-0-mm-3D_firstorder_Energy,1.0,1.0,1.0,t2w
216,log-sigma-2-0-mm-3D_firstorder_Entropy,1.0,1.0,1.0,t2w
217,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.89,0.87,0.92,adc
218,log-sigma-2-0-mm-3D_firstorder_InterquartileRange,1.0,1.0,1.0,t2w
219,log-sigma-2-0-mm-3D_firstorder_10Percentile,0.99,0.99,0.99,adc
220,log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.73,0.67,0.79,t2w
221,log-sigma-2-0-mm-3D_firstorder_90Percentile,0.99,0.99,0.99,adc
222,log-sigma-2-0-mm-3D_firstorder_Energy,1.0,0.99,1.0,adc
223,log-sigma-2-0-mm-3D_firstorder_Maximum,0.89,0.86,0.92,t2w
224,log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,1.0,1.0,1.0,t2w
225,log-sigma-2-0-mm-3D_firstorder_Entropy,1.0,0.99,1.0,adc
226,log-sigma-2-0-mm-3D_firstorder_Mean,0.99,0.99,0.99,t2w
227,log-sigma-2-0-mm-3D_firstorder_InterquartileRange,1.0,1.0,1.0,adc
228,log-sigma-2-0-mm-3D_firstorder_Median,0.99,0.98,0.99,t2w
229,log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.98,0.97,0.98,adc
230,log-sigma-2-0-mm-3D_firstorder_Minimum,0.92,0.9,0.94,t2w
231,log-sigma-2-0-mm-3D_firstorder_Maximum,0.88,0.85,0.91,adc
232,log-sigma-2-0-mm-3D_firstorder_Range,0.93,0.91,0.95,t2w
233,log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,1.0,1.0,1.0,adc
234,log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,1.0,1.0,1.0,t2w
235,log-sigma-2-0-mm-3D_firstorder_Mean,0.99,0.99,0.99,adc
236,log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.99,0.98,0.99,t2w
237,log-sigma-2-0-mm-3D_firstorder_Median,0.99,0.99,0.99,adc
238,log-sigma-2-0-mm-3D_firstorder_Skewness,0.91,0.89,0.93,t2w
239,log-sigma-2-0-mm-3D_firstorder_Minimum,0.92,0.9,0.94,adc
240,log-sigma-2-0-mm-3D_firstorder_TotalEnergy,1.0,1.0,1.0,t2w
241,log-sigma-2-0-mm-3D_firstorder_Range,0.92,0.9,0.94,adc
242,log-sigma-2-0-mm-3D_firstorder_Uniformity,1.0,1.0,1.0,t2w
243,log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,1.0,1.0,1.0,adc
244,log-sigma-2-0-mm-3D_firstorder_Variance,1.0,1.0,1.0,t2w
245,log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,1.0,0.99,1.0,adc
246,log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.86,0.83,0.9,t2w
247,log-sigma-2-0-mm-3D_firstorder_Skewness,0.98,0.97,0.98,adc
248,log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.82,0.78,0.86,t2w
249,log-sigma-2-0-mm-3D_firstorder_TotalEnergy,1.0,0.99,1.0,adc
250,log-sigma-2-0-mm-3D_glcm_ClusterShade,0.96,0.94,0.97,t2w
251,log-sigma-2-0-mm-3D_firstorder_Uniformity,1.0,1.0,1.0,adc
252,log-sigma-2-0-mm-3D_glcm_ClusterTendency,1.0,1.0,1.0,t2w
253,log-sigma-2-0-mm-3D_firstorder_Variance,1.0,0.99,1.0,adc
254,log-sigma-2-0-mm-3D_glcm_Contrast,1.0,1.0,1.0,t2w
