,feature,icc_value,c_down,c_up,sequence
1261,wavelet-LHL_glszm_GrayLevelNonUniformity,1.0,1.0,1.0,adc
1262,wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,t2w
1263,wavelet-LHL_glszm_GrayLevelNonUniformityNormalized,0.99,0.99,1.0,adc
1264,wavelet-LHL_glszm_GrayLevelVariance,1.0,1.0,1.0,t2w
1265,wavelet-LHL_glszm_HighGrayLevelZoneEmphasis,1.0,0.99,1.0,t2w
1266,wavelet-LHL_glszm_GrayLevelVariance,0.99,0.99,1.0,adc
1267,wavelet-LHL_glszm_HighGrayLevelZoneEmphasis,1.0,1.0,1.0,adc
1268,wavelet-LHL_glszm_LargeAreaEmphasis,1.0,1.0,1.0,t2w
1269,wavelet-LHL_glszm_LargeAreaEmphasis,1.0,1.0,1.0,adc
1270,wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,1.0,1.0,1.0,t2w
1271,wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,1.0,1.0,1.0,adc
1272,wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,0.99,0.99,1.0,t2w
1273,wavelet-LHL_glszm_LargeAreaLowGrayLevelEmphasis,1.0,1.0,1.0,adc
1274,wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.99,0.99,1.0,t2w
1275,wavelet-LHL_glszm_LowGrayLevelZoneEmphasis,0.97,0.96,0.97,adc
1276,wavelet-LHL_glszm_SizeZoneNonUniformity,1.0,1.0,1.0,t2w
1277,wavelet-LHL_glszm_SizeZoneNonUniformity,0.99,0.99,0.99,adc
1278,wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,1.0,1.0,1.0,t2w
1279,wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,0.98,0.98,0.99,adc
1280,wavelet-LHL_glszm_SmallAreaEmphasis,1.0,1.0,1.0,t2w
1281,wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,1.0,1.0,1.0,t2w
1282,wavelet-LHL_glszm_SmallAreaEmphasis,0.98,0.98,0.99,adc
1283,wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,1.0,1.0,1.0,t2w
1284,wavelet-LHL_glszm_SmallAreaHighGrayLevelEmphasis,1.0,1.0,1.0,adc
1285,wavelet-LHL_glszm_SmallAreaLowGrayLevelEmphasis,0.96,0.95,0.97,adc
1286,wavelet-LHL_glszm_ZoneEntropy,1.0,1.0,1.0,t2w
1287,wavelet-LHL_glszm_ZoneEntropy,0.99,0.99,0.99,adc
1288,wavelet-LHL_glszm_ZonePercentage,1.0,1.0,1.0,t2w
1289,wavelet-LHL_glszm_ZonePercentage,1.0,1.0,1.0,adc
1290,wavelet-LHL_glszm_ZoneVariance,1.0,1.0,1.0,t2w
1291,wavelet-LHL_glszm_ZoneVariance,1.0,1.0,1.0,adc
1292,wavelet-LHL_ngtdm_Busyness,1.0,0.99,1.0,t2w
1293,wavelet-LHL_ngtdm_Busyness,1.0,1.0,1.0,adc
1294,wavelet-LHL_ngtdm_Coarseness,0.99,0.98,0.99,t2w
1295,wavelet-LHL_ngtdm_Coarseness,0.99,0.98,0.99,adc
1296,wavelet-LHL_ngtdm_Complexity,1.0,1.0,1.0,t2w
1297,wavelet-LHL_ngtdm_Complexity,0.99,0.99,1.0,adc
1298,wavelet-LHL_ngtdm_Contrast,0.99,0.99,1.0,t2w
1299,wavelet-LHL_ngtdm_Contrast,0.99,0.99,0.99,adc
1300,wavelet-LHL_ngtdm_Strength,1.0,1.0,1.0,t2w
1301,wavelet-LHL_ngtdm_Strength,0.99,0.99,0.99,adc
1302,wavelet-LHL_gldm_DependenceEntropy,1.0,1.0,1.0,t2w
1303,wavelet-LHL_gldm_DependenceEntropy,0.99,0.99,1.0,adc
1304,wavelet-LHL_gldm_DependenceNonUniformity,1.0,1.0,1.0,t2w
1305,wavelet-LHL_gldm_DependenceNonUniformity,1.0,1.0,1.0,adc
1306,wavelet-LHL_gldm_DependenceNonUniformityNormalized,1.0,1.0,1.0,t2w
1307,wavelet-LHL_gldm_DependenceNonUniformityNormalized,1.0,1.0,1.0,adc
1308,wavelet-LHL_gldm_DependenceVariance,1.0,1.0,1.0,t2w
1309,wavelet-LHL_gldm_DependenceVariance,1.0,1.0,1.0,adc
1310,wavelet-LHL_gldm_GrayLevelNonUniformity,1.0,1.0,1.0,t2w
1311,wavelet-LHL_gldm_GrayLevelNonUniformity,1.0,1.0,1.0,adc
1312,wavelet-LHL_gldm_GrayLevelVariance,1.0,1.0,1.0,t2w
1313,wavelet-LHL_gldm_GrayLevelVariance,1.0,1.0,1.0,adc
1314,wavelet-LHL_gldm_HighGrayLevelEmphasis,0.99,0.99,1.0,t2w
1315,wavelet-LHL_gldm_HighGrayLevelEmphasis,1.0,1.0,1.0,adc
1316,wavelet-LHL_gldm_LargeDependenceEmphasis,1.0,1.0,1.0,t2w
1317,wavelet-LHL_gldm_LargeDependenceEmphasis,1.0,1.0,1.0,adc
1318,wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,1.0,0.99,1.0,t2w
1319,wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,1.0,1.0,1.0,adc
1320,wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,1.0,0.99,1.0,t2w
1321,wavelet-LHL_gldm_LargeDependenceLowGrayLevelEmphasis,0.99,0.98,0.99,adc
1322,wavelet-LHL_gldm_LowGrayLevelEmphasis,0.99,0.99,1.0,t2w
1323,wavelet-LHL_gldm_LowGrayLevelEmphasis,0.98,0.97,0.98,adc
1324,wavelet-LHL_gldm_SmallDependenceEmphasis,1.0,1.0,1.0,t2w
1325,wavelet-LHL_gldm_SmallDependenceEmphasis,1.0,1.0,1.0,adc
1326,wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis,1.0,0.99,1.0,t2w
1327,wavelet-LHL_gldm_SmallDependenceHighGrayLevelEmphasis,1.0,1.0,1.0,adc
1328,wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.99,0.99,0.99,t2w
1329,wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.96,0.95,0.97,adc
1330,wavelet-LHH_firstorder_10Percentile,1.0,1.0,1.0,t2w
1331,wavelet-LHH_firstorder_10Percentile,0.99,0.99,0.99,adc
1332,wavelet-LHH_firstorder_90Percentile,1.0,1.0,1.0,t2w
1333,wavelet-LHH_firstorder_90Percentile,0.99,0.99,0.99,adc
1334,wavelet-LHH_firstorder_Energy,1.0,1.0,1.0,t2w
1335,wavelet-LHH_firstorder_Entropy,1.0,1.0,1.0,t2w
1336,wavelet-LHH_firstorder_Energy,0.99,0.99,0.99,adc
1337,wavelet-LHH_firstorder_Entropy,0.99,0.98,0.99,adc
1338,wavelet-LHH_firstorder_InterquartileRange,1.0,1.0,1.0,t2w
1339,wavelet-LHH_firstorder_Kurtosis,0.99,0.99,0.99,t2w
1340,wavelet-LHH_firstorder_InterquartileRange,0.99,0.99,0.99,adc
1341,wavelet-LHH_firstorder_Maximum,0.99,0.99,0.99,t2w
1342,wavelet-LHH_firstorder_Kurtosis,0.97,0.96,0.98,adc
1343,wavelet-LHH_firstorder_Maximum,0.97,0.96,0.98,adc
1344,wavelet-LHH_firstorder_MeanAbsoluteDeviation,1.0,1.0,1.0,t2w
1345,wavelet-LHH_firstorder_Mean,0.99,0.98,0.99,t2w
1346,wavelet-LHH_firstorder_MeanAbsoluteDeviation,0.99,0.98,0.99,adc
1347,wavelet-LHH_firstorder_Mean,0.95,0.94,0.96,adc
1348,wavelet-LHH_firstorder_Median,0.98,0.98,0.99,t2w
1349,wavelet-LHH_firstorder_Median,0.96,0.95,0.97,adc
1350,wavelet-LHH_firstorder_Minimum,0.99,0.99,1.0,t2w
1351,wavelet-LHH_firstorder_Minimum,0.96,0.95,0.97,adc
1352,wavelet-LHH_firstorder_Range,0.99,0.99,1.0,t2w
1353,wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,1.0,1.0,1.0,t2w
1354,wavelet-LHH_firstorder_Range,0.97,0.96,0.98,adc
1355,wavelet-LHH_firstorder_RootMeanSquared,1.0,1.0,1.0,t2w
1356,wavelet-LHH_firstorder_RobustMeanAbsoluteDeviation,0.99,0.99,0.99,adc
